Coding,Message
Information,"Here is the total income brought in from all the dive shops and resorts for the first 6 months of 2012, including tag and bracelet sales, memberships and donations. Well done to all the businesses who have brought in lots of funds.\n If you dive regularly on Roatan let your dive Centre know you appreciate them helping protect and conserve Roatan\xb4s beautiful Reefs.\n Remember your voluntary fee helps keep up the marine infrastructure the divers rely on safe and helps us continue our extensive education programs. \nWe need everyone's support more than ever. \nThank you."
Community,"This was in Thailand but it should act as a warning to us all that this could happen anywhere! Please do not feed any wildlife and if you are leaving your lionfish down below please do not directly feed the grouper, snapper, sharks or morays! We do not want the association between diver and food to become a problem here! \nhttps://www.youtube.com/watch?v=qVQ4m8hfx-4"
Information,"These are the entries for the best find category that people submitted, we didn't select them."
Information,Chromodoris kempfi (Purple Crowned Sea Goddess)
Information,"Hey now, we didn't design it :) Just shared an innovative idea! ;)"
Community,The numbers are in and we challenge you aim high! Graphs of who are the front runners are coming up... See where you stand and set your goal a little higher for March! Great Job to everyone!
Information,"Just a clarification, this trash is washing up from the open ocean! We know we have an issue on island and educational efforts are being made. The trash we are talking about now is not a product of our irresponsibility but, of someone elses."
Information,"This weekend is looking like a rough one! You still have time to fix your roofs, boat trailers and stock up on some yummy food!"
Information,"Samples have been sent to the labs and we are waiting on the results but, that may take several weeks!"
Community,Bravo agent EE83!! We look forward to hearing about your next hunting mission!
Community,Check out The Bay Islands Responsible Seafood Guide promotional video.. it's full of information on why it's so important to be a responsible when you are consuming seafood. Thank you Go Blue Central America Geotourism for all your hard work.
Community,Yes but this is a specific cleanup dive where you can focus on big things... and give your clients a sense of pride because they made a difference!!
Community,"We have Lionfish Licenses that need to be picked up! \nIf you see your name, face or know how to get a hold of any one of these fabulous hunters please let us know!"
Action,"Bring a Bag, get a Bag Challenge is still going on... we have 2 more gorgeous RMP bags to give away. All you have to do is bring in a bag of OCEAN PLASTIC (plastic from the sea) or MARINE DEBRIS!!"
Community,Grace Scott just send us a message when you have time and we will work something out! Thanks
Community,"Bill 'Sully' Sullivan, the other one however clearly states that it was taken from within the zones which we patrol which is from shore to 60 meters depth (Pretty much to the dropoff). \n""At 10-50 feet under rock and coral"""
Information,"Remember that in mainstream Catholic countries we have become accustomed to enjoy white meat during Holy Week, this has been proven by other organizations that within Honduras it is actually shark meat that is consumed!! \n \nRecuerde que en los pa\xedses cat\xf3licos, hemos acostumbrado a disfrutar de la carne blanca en la Semana Santa, esto ha sido demostrado por otras organizaciones que dentro de Honduras es realmente carne de tibur\xf3n.\n\nBe safe and make smart decisions!!"
Community,We regret to say that our phone lines have been down for about a month now and that is why we cannot process credit cards. We have been to hondutel more times than i can count and they are waiting on cable to run it again.\n  It is unfortunate that we missed a large donation as every penny goes towards conserving Roatan's reefs. Perhaps your guests would still be willing to donate using Paypal.
Community,Blind meaning only Christi knows the photographers.
Community,Sounds perfect!
Information,Diamonds International Honduras
Information,"The graphs simply show amount generated through membership and user fee sales. Obviously there will be a difference between the large resorts and the smaller shops. Some shops make the user fee mandatory, others sometimes offer it to their guests, while sadly a few do not mention the fee. Comparing % of divers who buy the fee would be a more precise method of measurement but that would be an impossible figure to acquire"
Information,"large nets will have white styrofoam buoys keeping it afloat, however the smaller ones will seem more inconspicuos as the floats are much smaller and often blue. Keep a look our for sticks stuck into the sand, seagrass, mud or even the reef which are used to keep the net in one place.  Straight or curved lines in the water may often indicate a net floating just at the water line"
Community,Special thanks to Martin Cabrera Deheza for the photo of a Sargassum Frogfish submitted for the 2012 photo competition.
Action,Only 2 weeks untill the 2010 photo competition draws to a close. View the attachment and get your photos in to have the opportunity of having your photo in a calendar\nhttp://www.roatanmarinepark.com/news/2010-rmp-photo-contest/
Information,"Quick note, info@roatanmarinepark is currently down. If you need to email us please do so via christianne.etches@roatanmarinepark.net or giaco.palavicini@roatanmarinepark.net OR here on FB :)"
Community,"We have been communicating with some Whale Shark Researchers in our area, mainly Whale Shark and Oceanic Research Center (WSORC) in Utila, and they have mentioned that they too had an influx of shark sightings in the last few weeks! They have asked us to keep track of our sightings with the following criteria: \n\nWhere around the island the shark was seen\nWhen (time of day and date)\nApproximate size\nGender\nand Photos (if available but, we all know if there are no photos, then it didn't happen :P ) \n\nWe would appreciate it if anyone that saw a Whale Shark this month could comment on where and when they had their sighting and hopefully for future sightings we can collaborate with more detailed data!! \n\nThanks..."
Community,Not sure but if we hear we will let everyone know
Community,Photo de la semana... asi  es como se ve un ecosistema saludable!!
Information,"2 minors were caught spearing fish in Mangrove Bight in Flowers Bay. Their gear was confiscated and as they were underage, they were made to pick up trash."
Action,"The raffle prizes are in, check http://www.roatanmarinepark.com/prizes.htm for a full list of prizes you could win in the raffle, tickets only $1 or 12 for $10, also checl http://www.roatanmarinepark.com/auction-items.htm for prizes you can bid for in our auction"
Community,Photo taken by our own Director Giacomo Palavicini
Action,Save the date! We are really looking forward to the report on the health of the Mesoamerican Reef 2015!
Community,Yea ha.... I like that! :)
Community,"Whoa Deba Matherne,\nWe shared this because of the structure and the use of plastic bottles. \nPlease excuse the article as we did not write it. \nYou cannot deny however, that it is a great use for a never ending material!"
Information,Should be a good one!
Action,2013 is only a stone's throw away... Pick up your 2013 calendar TODAY! Shipping to the US and Canada is possible!
Community,They do claim to be by catch but it makes us wonder when some are so fresh!
Community,Photo of the Week... Photo of the Week.... Special Thanks for Dano Pendygrasse for taking the photo and Jen Duffield for being his model!
Information,"Food for thought...  ""If not me, who? If not now, when?"""
Community,We have been trying and will continue to try!
Community,"There has been a report of a Toyota Tacoma  driving through West End selling ""Fresh Conch!""\n\n If you buy from them please be sure to ask where they get it from!Remember that we are in a conch moratorium and there is only one LEGAL conch distributor on island.\n\nChances are if they didn't buy their conch from HYBUR that it's been poached out of our own bays. \n\nPlease be safe and make responsible choices!"
Community,"It says ""...from Utila,"" but the same goes for Roatan... We need more people protecting what so many are destroying... Great Job Postcard team!! "
Community,Millions of bees are dying in Canada...speechless! \n\nhttp://www.cbc.ca/m/news/canada/kitchener-waterloo/beekeeper-says-pesticide-killing-millions-of-bees-1.1312508
Action,Photo Submitted in 2009 by Brian Green! Remember we are accepting entries for this years photo competition until JULY 15th! Get them in for a chance to be in the 2014 RMP Calendar!! :)
Community,"A big thank you to everyone involved in last night\u2019s search and rescue. We are delighted that on this occasion the missing boy was found alive and well. This is a perfect time to remind all tour operators, boat owners and all local businesses about safety in the marine park and why life jackets are so important. Please make sure you advise all of your customers to wear them. Anyone renting equipment should also be inquisitive about what route their customers intend to travel to. In the unfortunate event of another missing person this can save valuable time in co ordinating the search and rescue."
Community,"If you haven't seen or heard of Cordelia Banks, watch this video and you'll understand why the RMP is working on protecting this pristine part of Roatan's coral reef"
Community,"Jacques Thank you for your comments and video! Hand line fishing (rod and reel included) is legal everywhere but, anchoring on the coral is NOT! \nWhat we have planned (partially due to your report!) to deter this activity are fishing moorings! \nWe will by putting in 10 new moorings specifically and exclusively for artisanal fishermen and will be put where they want them to ensure that they use them! \nBe on the lookout for them on your next trip! \nIf you have any questions or further comments please know that they are always welcome! We need as many eyes as possible out in the field! Thank You!"
Community,"they will be entered tomorrow, sorry for the delay"
Action,Don't miss the opportunity to have your photos showcased in our 2016 Calendar! It's already been a great year and there's still time to submit your photos into our Photo Competition! Deadline is next Tuesday the 30th!
Community,"Don't forget about our Pinterest page :) Check out our boards of Lionfish recipes, handicrafts, fun activities and more!! \nhttp://www.pinterest.com/roatanmarineprk/boards/"
Community,We were waiting on you to bring them!! :P
Community,"LOL Cassondra, that is Ohm silly!"
Information,Unfortunately everyone is affected by climate change!
Information,"The graph indicates sale of the ""user fee"" by dive shops and businesses outside the SBWEMR in January 2014. It does not include user fees on consignment, memberships, t-shirt sales or lionfish licenses. We would like to thank all our supporters and highlight that without you promoting our conversational message, we would be unable to continue protecting Roatan's reefs."
Action,Morning conservation world! :) \nWe are looking for anyone going up to the states to help out with mailing a small package to a group of students! \n\nPlease let us know if you or anyone you know can help out! Thanks in advance
Community,How many baby turtles do you see?
Community,Anyone can come! :)
Information,It's just out there in the plastic ocean...
Action,The RMP will be holding a lionfish spearing course this afternoon at 4pm at the office in Half Moon Bay. Open for snorkelers and divers. Please bring your dive or snorkel gear with you as it will be an in water test
Community,This is a thank you to all our supporters!
Community,Be on the look out for these beautiful signs! \nThanks to Diamonds International we have 40 more signs to let people know they are in a protected area! \nGreat Job DI! You have proven to be a great example for other companies to give back to their community! \nWe look forward to the next couple weeks and all the great things we will accomplish!
Community,Check out the efforts done by Colombia to control the invasion of the Lion Fish. https://m.youtube.com/watch?v=BrjB23SNrzw
Information,"The graph indicates funds generated from the sale of the ""user fee"" and membership payments by dive shops and businesses within the SBWEMR for January 2015. It does not include user fees on consignment, t-shirt sales or lionfish licenses. We would like to thank all of our supporters, big and small, and highlight that without you promoting our conservation message, we would be unable to continue protecting Roatan's reefs"
Information,"Please note that our Best Find Category will be judged by you, our supporters and friends! The RMP staff will be doing preliminary BLIND selection of the top 50% of the most rare, hardest to find creatures and those will be posted into a new album. This album will be open for your likes for only ONE WEEK! The photos with most likes will be the winners of the category!"
Community,some great photos of lionfish being eaten by the sharks at cara cara
Information,A local beach on the southside of the island taken during a beach cleanup...
Information,Three turtles which had been rescued from the cooking pot by Jimmy from Camp Bay were taken to West End for release
Community,The turtle that was rescued yesterday and taken to Maya Key is still alive and looks promosing! So lets keep our fingers crossed!!!\nThanks to all the staff at Maya Key!!!
Information,Story on shark finning
Information,"It shows that you enjoy the photos and is nice for the photographers to see people enjoy their work. Best find is the only category decided by ""likes"""
Community,How do you do that? It would be great!
Information,En punta Gorda!
Information,We will post our recent account so you can see how all the funds are used throughout our conservation projects
Information,"With yet more whale sharks spotted, its been a very busy 10 days involving seeing and swimming with these gentle giants. We ask that people ensure that their boat captains don't speed up on the sharks and keep a reasonable distance so others can also enjoy the experience."
Community,Are you sustainable?
Information,"A quick note regarding the graph, checks from Cocoview were received just before and just after January so though it appears that they do not support, they certainly do!"
Community,Not yet... 
Community,"Famous deep ocean explorer Dr. Sylvia Earle is leading another expedition, this time to the Swan Islands of Honduras! Don\xb4t miss the opportunity to have dinner with her and her team from Nat Geo on their way back from the expedition next Saturday July 23 at Tranquil Seas, Roatan! Open to only 15 people, hurry and reserve your seat now by contacting Grazzia Matamoros info@roatanmarinepark.net. Tickets for $100/person"
Community,Calling all West Bay residents! As you stroll down the beach today please keep your eyes open for baby turtles in the sargassum (Sea Weed)!
Information,"The graph indicates funds generated from the sale of the ""user fee"" and membership payments by dive shops and businesses outside the SBWEMR for January 2015. It does not include user fees on consignment, t-shirt sales or lionfish licenses. We would like to thank all of our supporters, big and small, and highlight that without you promoting our conservation message, we would be unable to continue protecting Roatan's reef"
Information,i can assure you that this one definitely didn't make it safely away. we had a staring competition to begin with  but my spear was mightier than the spine\\
Information,"After several requests from friends of Vern, the point which Vern used as his GPS reference to return to Roatan will now be renamed ""Vern's Dropoff"". Forever will he be in our memories!"
Information,"Our office is open Monday - Friday 8:30 - 5. If you have any questions concerning our Lionfish policy or any of our other programs, feel free to stop by. Our doors are always open."
Community,"Whale shark sighting... 2 about 10 minutes away, who has a boat and wants to check em out?"
Community,Ok... would we need to order them or do tough think you could pick them up and we can pay you when you get here?
Community,Good question Alex Harper-Brown! Let me ask the printers and get back to you!
Community,"**Slogan Competition**\r\nWe are making paper cups to hopefully reduce the amount of plastic cups that end up in the sea and ultimately on the reef... What we don't have is a slogan to go on the cups... We are thinking about things like ""helping to reduce plastic on the reef"" and ""one less cup in the dump""! \r\nPlease help us come up with our slogan! English, Spanish and Spanglish welcome!!"
Community,"Escuela Miguel Paz Barajona, Shark and the Sea presentation. RMP - Shark Legacy Project and MAR Leaders"
Community,"Thanks to our friends at Diario La Prensa we have made national news again! Please keep your eyes open for any possible nests and watch at night for the hatchlings! Give us a call and our staff and volunteers will organize a ""turtle watch"" :) 3289-1213 2445-4206 2445-4208\n\nhttp://www.laprensa.hn/honduras/regionales/741900-98/honduras-emiten-alerta-en-roat%C3%A1n-para-proteger-tortugas#panel1-2"
Information,Final count on LIKES= 72
Information,"DO NOT VOTE ON THIS ALBUM! Please note that this is not the album that will be open for LIKES. We will post a new album shortly of the top 20 photos chosen by the RMP staff based on how rare and unusual the find actually is. We will then be asking you, our friends and members, to vote on your favourite of those 20! \nPlease keep your eyes and ears open as LIKING will only be open for ONE WEEK!!!"
Community,Thanks for the great photo! We hope to get it out of there before the next storm!
Community,: Welcome to our new page!  Please become a fan.
Community,Please follow the link http://www.roatanmarinepark.com/research/lionfish-program/
Community,http://www.ecohustler.co.uk/2014/01/27/biggest-ever-whale-shark-slaughterhouse-uncovered-southeastern-china/
Information,"We will be doing refreshers for Eldon's and PM plus HiperMega, Isleno and Rey sometime this month!"
Information,"Yesterday, Nov 11th, there was an incident involving a large fishing boat. The boat had traveled to Roat\xe1n and was collecting sea cucumbers around French Key. \nUpon receiving several calls from concerned residents, the RMP patrol boat approached the boat, which was acting like a mother ship for smaller \u201cCayucos\u201d (non-motored dories) delivering their catch. The Park Rangers, accompanied by RMP staff and the Municipal Police, ordered the captain to stop harvesting until the issue regarding proper permits and jurisdiction could be resolved. The cayucos were ordered to return to the boat and release their catch of sea cucumbers into the ocean. \n\nWe were unable to inspect the main vessel, as neither the RMP nor the Municipal Police are permitted to do so. According to the Management Plan for the Bay Islands National Marine Park, it is illegal to harvest and commercialize any seas cucumbers within the Bay Island\u2019s National Marine Park boundaries. However, the vessel had been issued a permit no. 092-2012, by the Secretaria de Agricultura y Ganaderia that house the Fisheries Department, from the mainland, allowing them to do so, therefore going against the regulations stated in the current and legal management plan.\n\nThe boat has now left the Bay Islands and the Roat\xe1n Marine Park has involved all the authorities, including the ministry of ICF and the ministry of Environment for upholding the laws of the management plan."
Community,Thank you for your support and look forward to working with you in the future!
Information,He's just too cheap to buy a Sling.
Action,Don't forget we have ponchos for sale at our Eco Store.. perfect for rainy days like these. :)
Community,J.c. Martin Cabrera Deheza We have not received your photos. Please contact us ASAP if you feel this in incorrect. Judges are being given photos this week!
Community,"Bryan this was at Cara a Cara, the shark dive site."
Community,"If I didn't have to work, I would so be there"
Community,Click LIKE and SHARE to dispel the myth that humans have more to fear from sharks than the other way around..
Action,"<iframe frameborder=""0"" height=""510"" scrolling=""no"" src=""http://www.e-activist.com:80/ea-action/widget?widgetId=332"" title=""Sign Petition Widget 2"" width=""291""></iframe>"
Community,Clem check out our photos for the album :)
Information,"The sale of the ""user fee"" is supposed to be promoted by the dive shops to help finance the RMP's programs such as marine infrastructure, patrolling, education, raising environmental awareness etc. Several dive shops mention little or nothing about the RMP other than telling their guests ""not to touch the reef"" which is what PADI tells them to do. It isn't even the business's money but their divers so it astounds ""us"" that people will happily accept all the work the RMP does and not contribute"
Community,Thank you Glenn Burkett! It really gives us a boost when someone appreciates what we're doing!
Community,http://shanghaiist.com/2014/05/26/wildaid-members-dressed-as-sharks-shanghai.php 
Community,"So far West Bay Lodge, Island House, BananaRama, Henry Morgan, Seagrape Plantation, Burke's Place, Cocolobo's, Blenny's cabins, Casa Calico, Tranquil Seas, Blue Bahia, Posada Arco Iris, Key Hole Bay, Coconut Tree, Las Orchidis, Pirate's Den, Half Moon Bay Cabins and Lands End, along with one or two other places, have the posters in all of their rooms. Almost 400 framed posters distributed, 400 more to go. Please contact us if your business is interested"
Community,Check out Go Blue Central America's latest newsletter...
Information,It's in the Mithrax genus and  if we are not mistaken it is forceps or a Colour Variation of a Red-Ridged Clinging Crab.
Information,To set the record straight this graph is only user fee sales in January. \nBananaramaDive Beach Front Resort purchased bracelets in Dec and again in Feb. \nPlease also note that this graph does not include memberships just user fees.
Community,"Top 15 photos chosen by the RMP Photo Competition judges based on how rare and unusual the find actually is. We are asking you, our friends and members, to vote on your favourite of these 15!\nPlease Like your favourites to 'VOTE' for them! LIKING is only open for ONE WEEK so vote now or forever hold your peace!!!"
Information,"Fish traps and other fishing materials left behind DO NOT stop working because you stop thinking about them! \nThis is why Giaco and Oscar, a Zolitur Technician and member of the POP, went diving yesterday. They successfully removed and/or destroyed 15 abandoned fish traps in the brick bay area! \n\nThose photos to come!"
Action,"Here's just a tiny taste of some of the raffle and prizes are for tomorrow. There are loads more to come. Make sure you buy your raffle tickets.BIG THANK YOU to everyone who has donated!\n$20 Gift Cert -DIX Half Way Inn \n1992 RP Cigar- Franks Cigar Bar\n$20 Bikini Bottom Boutique\n$20 So Tropic (West Bay Mall) \nWhiskey -Quality Time Divers\n2 Tank Dive Trip for 1 guys Black Pearl\nMares rash guard and snorkel \n2 Paddle Board Rentals- Roatan Paddle Sports\n$25 Food, drink or merchandise- Lala Gallery and Garden Cafe \n$25 Food& Drink -Fosters West Bay\n$25 Food & Drink - Cafe Escondido\n$ 50 Umbul Umbul \n500 lempira Mangiamos \nRoatan Rum Company Pastel con Rum x 2 \n$50 Meal certificate for Half Moon Bay Resort \n2 deserts and 2 free drinks at the Lily Pond\n$20 certificate at Tita\u2019s Bar\n$40 dinner at the Buccaneer and welcome cocktail.\nDinner for 2 - Chicken Rotisserie  \n60 minute massage with Om Shanti (Susi Stern)"
Information,They have been reported in the sea around the entire island. We believe that the change of wind direction and current that we experienced over the weekend is what brought them to the shore on the West side.
Action,Coming up next week! Don't miss out!
Action,get your cameras out and start snapping 
Community,Seagrass is amazing... what if we each saved only one hectare?
Action,"Check back regularly to see the submissions for this year's photo competition.  Winners will be announced in August and featured in the 2010 RMP Calendar, which will be available in late Sept. \n\nNames of the submitters will not be shown prior to judging so as to not bias the results."
Information,Final count on LIKES= 10
Information,Final count on LIKES= 82
Community,Aqua Bryan if you sent them to info@roatanmarinpark.net we got them. Thanks :)
Action,Today is the DEADLINE for Photo Contest Submissions!  Don't miss out on your chance to be featured in the 2010 RMP Calendar!
Action,day is not over yet!!!
Community,We found out the guys were released. We are gutted!
Information,Cruise ship schedule for this week!
Community,Adam Hensley oh but you can! :) We can ship one to you and you can pay via paypal!
Action,El precio es 65lps la libra si son enteros y 85lps filetes
Community,Not officially...
Community,Good Morning :)\n\nhttp://www.projectaware.org/project/10Tips\n\nThese are great tips. Project Aware has always helped take care of our reef!!!
Action,last days to get your entries in!
Information,According to WWF in Mexico they have moved from the normal place by Holbox further south to Isla Mujeres and that may be why we are seeing more. They are currently doing more studies on their changed location and behaviour. We will keep you up dated when we know more :)
Action,"If you can't make it to our birthday party on Friday, you can still participate in the auction. If you want to make a bid, go ahead and comment on the item with the price you are willing to pay for it."
Information,"These signs are, at the moment, just for West Bay! After having over 30 signs from the beach disappear in the last year we will be placing these on the beach in the morning and removing them in the afternoon. We will be able to set them more permanent once we get people to take care of them."
Action,"We are looking for a Marketing and Fundraising person to join our team for a 6 month trial period. \n\nIf you are fluent (reading and writing) in both English and Spanish, live on Roatan (or are willing to move to Roatan for at least 6 months), and have experience in Marketing and Fundraising for NGOs or small organizations please email your CV to  giaco.palavicini@roatanmarinepark.net\n\nThis is a paid position and we are requesting serious inquiries only."
Action,"WOW! We've had so many great donations for our auction and raffle prizes so far. If you or your business would like to donate anything please do let us know. All of the funds we raise will go directly towards our conservation efforts. We really appreciate all the great support. Thank you, thank you, thank you to all of our great supporters!"
Action,"Hello all! We have the final movie of our 4 week long Eco sessions free movie night with sustainable seafood at Land's End tonight. This evening we are featuring ""Hugh's Fisg Fight"" which focuses on the British celebrity chef highlighting the horrific problem of discards, the wasteful bycatch of perfectly edible marketable fish, happening world wide. Adi and Eva will be serving a full menu tonight as well as lionfish and wahoo. C U there.!\n"
Community,Thank You Antonello Busiello for this crazy photo of the week!!
Community,Thanks Coconut Tree Divers & Go Pro Caribbean for bringing back a lost buoy! We will figure out where it came from and get it back out there!
Community,We can arrange that. Any suggestions of good place to have it?
Information,"The graph indicates funds generated from the sale of the ""user fee"" and membership payments by dive shops and businesses within the SBWEMR between January and November 2014. It does not include user fees on consignment, t-shirt sales or lionfish licenses. We would like to thank all of our supporters, big and small, and highlight that without you promoting our conservation message, we would be unable to continue protecting Roatan's reefs"
Community,The 3 prong spears are $30 and the 6 prongs are $45
Action,It's almost time! Can't wait to get out there and make a difference with this group of fantabulous people. If you are interested in volunteering and meeting some great people just give us a call! 3289 1213 - Christi
Community,Do you know what you're eating?
Community,Hola Riley! Te recomiendo visitar este website: http://www.wwfca.org/nuestro_trabajo/mares_costas/pesquerias/ Encontrar\xe1s la informaci\xf3n que buscas. Si deseas te puedo facilitar el email del Oficial de Pesquer\xedas para WWF en Honduras. Saludos! Grazzia
Information,Moral of this story is knowledge is power and the more you know the more you will help the environment. :)
Community,Thanks to all of you for your help and wonderful job at the conservation center!!
Community,What is your favourite caribbean reef fish?
Information,"Normativa tip of the day, EVERY BOAT CAPTAIN IS TO BE FIRST AID AND CPR TRAINED!!!!!!  \nDon't forget to read the normativa dive rules for the national marine park for the complete list!'"
Community,"Mangroove.... The Mangrove Monitoring team! Combination of many different island organizations!!! Zolitur, BICA, Healthy Reefs, RMP, and the carbon sequestration team of OSU :) Thanks Tyler and Rupesh for teaching us the protocol!!"
Information,Here is the updated version of all the dive moorings between Crawfish Rock and West Bay. This should help dive masters and instructors knowing which site is which. All moorings purchased by Gold Individual members will have the name engraved on them .
Information,Will post more photos tomorrow
Community,Absolutely Scott Kehoe. Send us your email address and we will send you some information! :)
Information,"There are several related to tourism, fishing Lion Fish, Lobster Shades, Sustainable Iguana Farming, Bees the only problem is that some fishers don't want to change even if you give them new and better ways to make money even if its still fishing. Other NGO helping communities with alternatives BICA and CEM"
Community,"Simple video, powerful message! #buildingawareness #plastickills"
Action,Just a reminder that we will be releasing 3 loggerheads and one hawksbill juvenile romorrow morning at 9am in Flower's Bay by the old methodist church. Please feel free to come as this is an open event! This area is a nesting ground so hopefully this will not be the last of turtle conservation in Flower's Bay.\nFor more info please call Christi at 3289 1213
Community,"Thank you to Dian Lynn and Umbul Umbul Home Furnishings for their generous donation of reusable bags! \nWe now have more colours of the RMP Knapsacks! \nLime Green and Red are the new colour addition to the Purple, Blue, Pink and Khaki!"
Information,"We never found the product as they saw us drive into the Bay, but we had been informed that the week before, some people, possibly them, took a sack of lobster from the bight"
Information,Lionfish action plan from Eustatius\nhttp://www.nacri.org/downloads/STENAPALionfishResponsePlan2009.pdf
Information,The net was being used to catch goggle eyes which are apparently so abundant according to the owner. They had been netting on and off for almost a week and it was a resident in port royal who informed us that the net was being placed yesterday.
Community,"Hi Perla, if you watch the ted talk on this link he explains a lot of the challenges faced and the justification that resulted from his study to overcome them."
Community,Do you want jelly fish soup? Watch this video about the importance of marine reserves and why they work . It's time to take action http://wildaid.org/video/importance-marine-protection
Community,That's horrible... did you contact the UMA?
Community,"is you look at the entires for this years photo competition, you'll see a few nice shots of some gurnards in action"
Community,"Whatever affects one directly, affects all indirectly. I can never be what I ought to be until you are what you ought to be. This is the interrelated structure of reality.\n-- Martin Luther King, Jr \n\nWe are working, along with Hedman Alas on getting the word of conservation and awareness out in our country! \nThanks Aaron for being a great friend and ally!"
Community,"We would like to firstly thank our 3 new Individual Gold Members, Marco Agurcia, Haller Jackson and the group from Single Divers. The map shows where two of the new dive sites are which are located betweeen West End and West Bay. The first is Haller Deep and is located just east of Blue Channel. The mooring is at 45ft, just at the edge of the wall, with two pinnacles running out into the deep. The other is called Jumpin Jack and is between Tabyannas and Buchos Bank. With huge expanses of sand, the mooring sits at 35ft and is ideal for beginners."
Information,"ROATAN MARINE PARK WEEKLY ACHIEVEMENTS\n\nNicholas Bach  \nConducted 5 lionfish licensing sessions and certified 16 divers and snorkelers in West End, Barefoot key and Turquoise Bay\nFinally have the Suzuki 140hp engine working well and establishing boat maintenance routine with Park Ranger\nRemoved damaged panga from the water and took to Gibson Bight for repair. (currently back in the water)\nMet with south side stakeholders to discuss continuing support\nAssisted in two arrests, the first Saturday night and the other Sunday morning\nHad technician fix all the office computers and assist in reactivating work emails\nMet with dive shop owners around the island\n \n \nChristi Etches  \nInterview with Roatan Magazine \nMangrove up date\nBags for Life Design\n \n \nMarta Macpui \n Accountings\nBracelets and Tokens Control\nUpdate Membership Database"
Action,We need your hellllppppp! \nCalling all DMTs;  we are looking for someone to help us out map the snorkel area of West Bay.\nWe are looking for the space from Infinity Dock to Black Rock with recommended snorkel paths and places to avoid! \nWe will also be painting this on a sheet of Plywood and posting it down on the beach! \nPlease and Thank you!
Information,There were 6 or so eggs left in one of the nests that were found. It had been days since the main hatching occurred yet one had a baby turtle was still in the nest (the miracle turtle) .Knowing the unlikely hood of their survival still being in egg we made the decision to investigate  the contents of the remaining eggs and hopefully save the hatchlings. \nUnfortunately  no more babies were found and the eggs were all rotten.
Community,"Christian and Dustin will be coming by your shops today, tomorrow and Friday to let you know about this meeting as well!! \nSee you soon!!"
Community,Thanks for the throwback photo...would you like us to share this with Nick?
Information,between the 4 of us we caught over 150 lionfish. More than 10lbs of cleaned meat
Community,Absolutely info@roatanmarinepark.net
Action,Friday mangrove planting at the Inn of Last Resort with Platanar and Diamonds International!
Community,A video sent in by divers from Tranquil Seas who purchased 8 huge lobster from Cayos Cochinos and released them at the Roatan Banks http://www.youtube.com/watch?v=YdL1wt-ifDA
Community,Photo of the week! Taken 4 mins ago! Trash that has washed up on the beach of Half Moon Bay! This is only one beach that is like this and after only one storm!
Community,The mangroves are one of the most efficient and important plants in the world and we are destroying faster than they can grow! \n\nSee just how important they are in this latest blog! \nhttp://m.huffpost.com/us/entry/6114596
Community,Only if there are more than 4 people
Action,Are you curious to find out if your photo made the calendar? WAIT NO MORE...  We are pleased to announce that we will have our CALENDAR LAUNCH Roatan Oasis next Thursday September 26th! We will start with drink specials from 5PM! Be on the look out for the event invitation :)
Action,will be releasing two juvenile hawksbills turtles at 2pm this afternoon in Half Moon Bay
Information,New way to eat lionfish. Batter and deep fry the stomach and pectoral area of large fish and you now have lionfish WINGS.
Action,"It\u2019s that time of year again for the RMP underwater photo competition. You are invited to send 6 photos which can fall within any of the 6 categories. They must be taken by you, here on Roatan and underwater. Please attach a location, name and category for each photo submitted. The deadline is July 15th and all submitted photos will be available for viewing on facebook. The Best Find category will be judged by \u201cyou\u201d on facebook with the most votes winning that group. All other categories will be judged by independent adjudicators and the winners will appear in the 2014 RMP calendar."
Action,"Check back regularly to see the submissions for this year's photo competition.  Winners will be announced in August and featured in the 2010 RMP Calendar, which will be available in late Sept. \n\nNames of the submitters will not be shown prior to judging so as to not bias the results."
Community,"VAlerie Nelson I cant send you a message :( we are planning to do another cleanup on Friday 8-10! Hope that is enough time for you, we would love the extra support!"
Information,Confiscated items from 2009
Community,"Thank You to all the dive shops that participated in the Normativa/Management Plan workshop last week! 16 diveshops and more than 40 people showed up! Thank You to West End Divers, Roatan Splash Inn, Luna Beach Resort and Dive Shop, Tranquilseas Eco Lodge Hotel & Dive Centre, Reef Gliders Dive Center, Roatan - Las Rocas Resort & Dive Center, Native Sons Dive Shop, Barefoot Divers, Roatan, Scuba Roatan, Octopus Dive School, AKR, Roatan Divers, Coconutree Divers/GoPro Caribbean,Ocean Connections, Mayan Divers and Sundivers for your support!!\nA special thanks to Will and Loren Welbourn of Oasis for being so accommodating with us!!!"
Community,Incredible! 
Community,Alternative School presentation about Sharks and the Sea.
Action,GET YOUR PHOTOS IN TODAY!!
Information,It is a max of 7 entries per photographer
Community,"Within the Committee there are Biologists, Lawyers, Forestry Engineers in addition to 3 Marine Biologists and the Technical Units of all 4 Municipalities of the Bay Islands."
Action,Marine lover in the family or oh oh! forget to get someone a gift?\r\n 2014 Calendar are now only $10!!! Pick one up at our Ecostore in West End!!
Community,"Kirsty, we will ask them to make it up that way!!"
Community,Where would you like them sent to? I'm sure we can work something out!
Community,Last Week's Eco Night about mangroves presented by Verena Hoelzer. She shared the monitoring techniques she has been implementing in the last 6 months. \nThank you for your hard work and we look forward to reading your thesis!
Community,Thanks. .. the photographers really did great this year!
